,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
559,Liberal Arts,Bachelors,44500,75800
560,Adult Education & Training,Bachelors,48700,75600
561,Fashion Merchandising,Bachelors,46900,75600
562,Health & Fitness,Bachelors,39800,75600
563,Natural Resources,Bachelors,47400,75500
564,Organizational Management,Bachelors,48800,75500
565,Modern Languages,Bachelors,50300,75400
566,Natural Resource Management,Bachelors,46500,75400
567,Retail Management,Bachelors,50100,75400
568,Sociology & Anthropology,Bachelors,44500,75400
569,Creative Writing,Bachelors,45300,75200
570,Criminal Justice Administration,Bachelors,45700,75100
571,Ethnic Studies,Bachelors,47500,74900
572,Philosophy & Religious Studies,Bachelors,49300,74900
573,Radiology,Bachelors,54800,74900
574,Medical Laboratory Technology,Bachelors,56900,74400
575,Sports Management,Bachelors,45400,74400
576,Anthropology & English,Bachelors,48000,74300
577,Broadcast Communication,Bachelors,40000,74300
578,Criminology,Bachelors,44700,74300
579,Earth Science,Bachelors,50000,74300
580,Media & Technology,Bachelors,45200,74300
581,Visual Communications,Bachelors,45400,74300
582,Advertising & Graphic Design,Bachelors,46800,74200
583,Applied Behavior Analysis,Bachelors,38700,74200
584,Psychology,Bachelors,44700,74200
585,Applied Management,Bachelors,45500,74100
586,Hotel & Restaurant Management,Bachelors,47300,74100
587,Anthropology,Bachelors,46400,73900
588,Arts Management,Bachelors,39400,73800
589,Diagnostic Medical Imaging,Bachelors,60600,73800
590,Communication Arts,Bachelors,42400,73600
591,Middle Eastern Studies,Bachelors,57100,73600
592,Radiologic Technology,Bachelors,55200,73600
593,Painting & Printmaking,Bachelors,34700,73600
594,Cardiopulmonary Science,Bachelors,48900,73400
595,Human Relations,Bachelors,45000,73400
596,Humanities,Bachelors,48500,73200
597,Health Care Administration,Bachelors,45800,73100
598,Health Care Management,Bachelors,46700,73000
599,Life Sciences,Bachelors,53100,73000
600,Ecology,Bachelors,46400,72900
601,Media Arts,Bachelors,46500,72900
602,Respiratory Care,Bachelors,54800,72800
603,Art & Design,Bachelors,45100,72700
604,Health Information Management,Bachelors,49000,72700
605,Hospitality Management,Bachelors,46400,72700
606,Health Teacher Education,Bachelors,37900,72600
607,Sports Medicine,Bachelors,50100,72600
608,Multimedia & Web Design,Bachelors,50200,72600
609,Sociology,Bachelors,46200,72500
610,Liberal Studies,Bachelors,44300,72400
611,Interior Design,Bachelors,45100,72300
